PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Aaron Gordon,ORL,24,62,30,32,32.5,14.4,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,1.7,5.9,7.7,3.7,1.6,0.8,0.6,2,31.9,20,1,-1.1
Aaron Holiday,IND,23,66,42,24,24.5,9.5,3.5,8.5,41.4,1.3,3.3,39.4,1.1,1.3,85.1,0.3,2,2.4,3.4,1.3,0.8,0.2,1.8,19.3,3,0,1.7
Abdel Nader,OKC,26,55,37,18,15.8,6.3,2.2,4.8,46.8,0.9,2.3,37.5,0.9,1.2,77.3,0.3,1.6,1.8,0.7,0.8,0.4,0.4,1.4,11.1,0,0,-1.5
Adam Mokoka,CHI,21,11,3,8,10.2,2.9,1.1,2.5,42.9,0.5,1.4,40,0.2,0.4,50,0.6,0.3,0.9,0.4,0.2,0.4,0,1.5,5.5,0,0,4.5
Admiral Schofield,WAS,23,33,9,24,11.2,3,1.1,2.8,38,0.6,1.8,31.1,0.3,0.5,66.7,0.2,1.2,1.4,0.5,0.2,0.2,0.1,1.5,6.3,0,0,-1.7
Al Horford,PHI,34,67,39,28,30.2,11.9,4.8,10.6,45,1.5,4.2,35,0.9,1.2,76.3,1.5,5.3,6.8,4,1.2,0.8,0.9,2.1,30,6,0,1.9
Alec Burks,PHI,28,66,21,45,26.6,15,4.9,11.6,41.8,1.8,4.6,38.5,3.6,4,88.7,0.7,3.5,4.3,2.9,1.4,0.9,0.3,1.9,26.7,1,0,-3.4
Alen Smailagic,GSW,19,14,1,13,9.9,4.2,1.4,2.9,50,0.2,0.9,23.1,1.1,1.4,84.2,0.7,1.2,1.9,0.9,0.8,0.2,0.3,1,8.6,0,0,-0.6
Alex Caruso,LAL,26,64,48,16,18.4,5.5,1.9,4.5,41.2,0.6,1.9,33.3,1.1,1.5,73.4,0.3,1.7,1.9,1.9,0.8,1.1,0.3,1.5,14,0,0,3.8
Alex Len,SAC,27,55,18,37,17.6,8,3.2,5.8,55.5,0.3,1.1,27.1,1.2,1.9,64.8,1.8,4,5.8,0.9,1,0.4,0.9,2.3,19.2,8,0,-2
Al-Farouq Aminu,ORL,29,18,7,11,21.1,4.3,1.4,4.8,29.1,0.5,2,25,1.1,1.6,65.5,1.3,3.5,4.8,1.2,0.9,1,0.4,1.5,15.3,1,0,-1.9
Alfonzo McKinnie,CLE,27,40,11,29,14.8,4.6,1.8,4.3,42.7,0.4,1.6,21.5,0.6,0.8,71,0.9,1.9,2.8,0.4,0.7,0.6,0.2,1.8,10.1,1,0,-2.3
Alize Johnson,IND,24,17,10,7,6.9,2,0.7,1.7,41.4,0.2,0.5,37.5,0.4,0.6,70,0.9,1.9,2.8,0.4,0.4,0.2,0.1,0.7,6.5,1,0,1.5
Allen Crabbe,MIN,28,37,5,32,17.6,4.6,1.7,4.8,35.6,1,3.2,30.3,0.3,0.4,71.4,0.3,1.8,2.1,0.9,0.5,0.4,0.1,1.3,9.6,0,0,-6
Allonzo Trier,NYK,24,24,2,22,12.1,6.5,2.1,4.4,48.1,0.8,2.2,35.8,1.4,1.8,79.1,0.3,1,1.2,1.2,0.9,0.1,0.2,1.2,9.6,0,0,-3
Amile Jefferson,ORL,27,18,5,13,4.1,0.8,0.3,0.8,35.7,0,0,0,0.3,0.8,35.7,0.6,0.7,1.3,0.2,0.2,0.1,0.2,0.4,3.2,0,0,1
Amir Coffey,LAC,23,18,11,7,8.8,3.2,1.3,3,42.6,0.3,1.1,31.6,0.3,0.6,54.5,0.2,0.7,0.9,0.8,0.4,0.3,0.1,1.1,6.2,0,0,-0.3
Andre Drummond,CLE,26,57,21,36,33,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3,5.2,57.5,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,47,47,0,-3.4
Andre Iguodala,MIA,36,21,10,11,19.9,4.6,1.8,4.2,43.2,0.7,2.2,29.8,0.3,0.7,40,0.8,2.9,3.7,2.4,1.2,0.7,1,1.7,16.4,0,0,-1.2
Andre Roberson,OKC,28,7,3,4,12.4,2.9,1.1,4.1,27.6,0.4,2,21.4,0.1,0.3,50,1,2.9,3.9,0.6,0.3,0.1,0.4,1.9,9.8,0,0,-0.4
Andrew Wiggins,GSW,25,54,15,39,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,1.2,3.9,5.1,3.7,2.4,0.8,1,2.4,36.3,4,1,-3.7
Anfernee Simons,POR,21,70,32,38,20.7,8.3,3.1,7.7,39.9,1.1,3.2,33.2,1.1,1.3,82.6,0.4,1.8,2.2,1.4,0.9,0.4,0.1,1.9,13.6,1,0,-3.5
Ante Zizic,CLE,23,22,4,18,10,4.4,1.9,3.3,56.9,0,0,0,0.6,0.9,73.7,0.8,2.2,3,0.3,0.5,0.3,0.2,1.2,9.6,1,0,0.6
Anthony Davis,LAL,27,62,46,16,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,2.3,7,9.3,3.2,2.5,1.5,2.3,2.5,50.9,29,0,3.9
Anthony Tolliver,MEM,35,55,24,31,15.9,3.6,1.2,3.3,35.7,0.9,2.6,33.8,0.4,0.5,72.4,0.6,2.2,2.8,0.8,0.6,0.3,0.2,1.3,9.2,1,0,-1.9
Antonius Cleveland,DAL,26,11,6,5,4.2,1,0.4,1.3,28.6,0,0.3,0,0.3,0.5,60,0.2,0.5,0.6,0.1,0.2,0.1,0.3,0.7,2.8,0,0,-1.1
Anzejs Pasecniks,WAS,24,27,9,18,16.2,5.8,2.3,4.3,52.6,0,0.1,0,1.3,2.1,58.6,1.6,2.4,4,0.7,0.9,0.3,0.4,2.8,13,0,0,-0.1
Aron Baynes,PHX,33,42,19,23,22.2,11.5,4.4,9.1,48,1.4,4,35.1,1.3,1.8,74.7,1.7,4,5.6,1.6,1.2,0.2,0.5,3.4,21.8,3,0,-1.1
Austin Rivers,HOU,27,68,43,25,23.4,8.8,3.1,7.4,42.1,1.4,4,35.6,1.1,1.6,70.3,0.4,2.2,2.6,1.7,0.7,0.7,0.1,1.9,16.2,0,0,1.2
Avery Bradley,LAL,29,49,36,13,24.2,8.6,3.5,7.8,44.4,1.3,3.5,36.4,0.4,0.5,83.3,0.4,2,2.3,1.3,1,0.9,0.1,2.2,15.4,0,0,3.7
Bam Adebayo,MIA,22,72,44,28,33.6,15.9,6.1,11,55.7,0,0.2,14.3,3.7,5.3,69.1,2.4,7.8,10.2,5.1,2.8,1.1,1.3,2.5,40.3,40,3,3.4
Ben McLemore,HOU,27,71,44,27,22.8,10.1,3.4,7.7,44.4,2.5,6.4,40,0.7,0.9,74.6,0.3,1.9,2.2,0.8,0.7,0.6,0.2,2.2,15.8,1,0,2.6
Ben Simmons,PHI,23,57,35,22,35.4,16.4,6.6,11.4,58,0,0.1,28.6,3.2,5.2,62.1,2,5.8,7.8,8,3.5,2.1,0.6,3.3,42.3,31,6,1.1
Bismack Biyombo,CHA,27,53,18,35,19.4,7.4,2.8,5.2,54.3,0,0,0,1.7,2.8,60.3,2.3,3.5,5.8,0.9,0.9,0.2,0.9,2.2,18.2,8,0,-2.9
BJ Johnson,ORL,24,10,5,5,8.3,3,0.9,3.2,28.1,0.3,0.9,33.3,0.9,1,90,0.3,1.2,1.5,0.3,0.6,0.3,0,0.3,5.6,0,0,-0.9
Blake Griffin,DET,31,18,8,10,28.5,15.5,4.9,13.9,35.2,1.5,6.2,24.3,4.2,5.4,77.6,0.9,3.7,4.7,3.3,2.2,0.4,0.4,1.5,26.1,2,0,-1.4
Boban Marjanovic,DAL,31,44,21,23,9.6,6.6,2.8,4.8,57.3,0.1,0.4,23.5,1,1.3,75.4,1.5,3,4.5,0.5,0.7,0.2,0.2,1.3,13.2,6,0,1.1
Bobby Portis,NYK,25,66,21,45,21.1,10.1,4,8.9,45,1,2.8,35.8,1.1,1.4,76.3,1.2,3.9,5.1,1.5,1.1,0.5,0.3,1.7,19.7,5,0,-2.9
Bogdan Bogdanovic,SAC,27,61,29,32,28.9,15.1,5.5,12.6,44,2.7,7.2,37.2,1.4,1.9,74.1,0.4,3,3.4,3.4,1.7,1,0.2,2.2,26.5,2,0,-0.7
Bojan Bogdanovic,UTA,31,63,41,22,33.1,20.2,6.6,14.8,44.7,3,7.3,41.4,4,4.4,90.3,0.6,3.5,4.1,2.1,2.5,0.5,0.1,1.7,27.7,0,0,4.2
Bol Bol,DEN,20,7,2,5,12.4,5.7,2,4,50,0.6,1.3,44.4,1.1,1.4,80,0.7,2,2.7,0.9,1.4,0.3,0.9,1.6,12.3,0,0,-3
Brad Wanamaker,BOS,30,71,48,23,19.3,6.9,2.3,5.1,44.8,0.5,1.4,36.3,1.8,1.9,92.6,0.3,1.7,2,2.5,1.1,0.9,0.2,1.9,15.2,0,0,1.9
Bradley Beal,WAS,27,57,20,37,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5
Brandon Clarke,MEM,23,58,29,29,22.4,12.1,5.1,8.3,61.8,0.4,1.1,35.9,1.5,1.9,75.9,1.6,4.4,5.9,1.4,0.9,0.6,0.8,1.7,24.5,3,0,-0.3
Brandon Goodwin,ATL,24,34,13,21,12.7,6.1,2.2,5.6,40,0.8,2.6,29.9,0.8,0.9,93.3,0.3,1.8,2.1,1.5,0.9,0.4,0.1,1.3,11.4,0,0,-3.8
Brandon Ingram,NOP,22,62,25,37,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,0.8,5.3,6.1,4.2,3,1,0.6,2.9,39.2,9,0,-0.7
Brandon Knight,DET,28,25,4,21,18.5,7.3,2.4,6.7,35.3,1.8,5.2,34.4,0.8,1.4,58.8,0.2,1.5,1.6,2.8,1.5,0.4,0.1,1.6,13.5,0,0,-2.8
Brian Bowen II,IND,21,6,5,1,5.2,1,0.5,1.7,30,0,0.3,0,0,0,0,0.2,1,1.2,0,0.2,0,0.2,0.5,2.7,0,0,2.2
Brook Lopez,MIL,32,68,53,15,26.7,12,4.3,9.9,43.5,1.5,4.8,31.4,1.9,2.2,83.6,0.9,3.7,4.6,1.5,1,0.7,2.4,2.4,27.8,4,0,7.7
Bruce Brown,DET,23,58,18,40,28.2,8.9,3.4,7.7,44.3,0.6,1.7,34.4,1.5,2.1,73.9,1.1,3.7,4.7,4,1.7,1.1,0.5,2.8,23.6,4,0,-2.4
Bruno Caboclo,HOU,24,30,11,19,8.1,3,1.3,3,42.7,0.2,1.1,18.2,0.3,0.3,88.9,0.8,1.2,2,0.4,0.4,0.5,0.6,1,8.8,1,0,-1.1
Bruno Fernando,ATL,21,56,18,38,12.7,4.3,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,1.2,2.3,3.5,0.9,0.8,0.3,0.3,1.9,11,1,0,-1.7
Bryn Forbes,SAS,26,63,27,36,25.1,11.2,3.8,9.2,41.7,2.3,6,38.8,1.2,1.4,83.3,0.2,1.8,2,1.7,0.9,0.5,0,1.8,16.9,0,0,-3.4
Buddy Hield,SAC,27,72,31,41,30.8,19.2,6.9,16.1,42.9,3.8,9.6,39.4,1.6,1.9,84.6,0.8,3.8,4.6,3,2.3,0.9,0.2,2.3,30.2,2,0,-1.5
Caleb Martin,CHA,24,18,6,12,17.6,6.2,2.1,4.7,44,1.1,2.1,54.1,0.9,1.2,81,0.6,1.6,2.1,1.3,0.8,0.7,0.4,1.8,13,0,0,0.3
Caleb Swanigan,POR,23,27,12,15,10.7,2.4,1,1.7,59.6,0,0.1,0,0.3,0.6,52.9,1,2.7,3.7,1.1,1.4,0.1,0.3,2.3,8.3,0,0,-1.6
Cam Reddish,ATL,20,58,17,41,26.7,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,1.7,1.1,0.5,2.3,20.2,0,0,-4.2
Cameron Johnson,PHX,24,57,28,29,22,8.8,3.1,7.1,43.5,1.9,4.8,39,0.8,1,80.7,0.9,2.4,3.3,1.2,0.6,0.6,0.4,1.5,17,2,0,0.2
Cameron Payne,PHX,25,8,8,0,22.9,10.9,4.1,8.5,48.5,1.9,3.6,51.7,0.8,0.9,85.7,0.5,3.4,3.9,3,1.4,1,0.3,2.5,22.4,0,0,11.1
Caris LeVert,BKN,25,45,21,24,29.6,18.7,6.9,16.3,42.5,1.8,4.9,36.4,3.1,4.4,71.1,1.1,3.1,4.2,4.4,2.6,1.2,0.2,1.8,32,2,1,-0.1
Carmelo Anthony,POR,36,58,28,30,32.8,15.4,5.8,13.5,43,1.5,3.9,38.5,2.3,2.8,84.5,1.2,5.1,6.3,1.5,1.7,0.8,0.5,2.9,27.5,5,0,0.3
Carsen Edwards,BOS,22,37,25,12,9.5,3.3,1.1,3.5,32.8,0.6,2.1,31.6,0.4,0.5,68.4,0.2,1.1,1.3,0.6,0.4,0.3,0.1,0.9,6.7,0,0,-1.3
Cedi Osman,CLE,25,65,19,46,29.4,11,4.1,9.4,43.7,1.9,4.9,38.3,1,1.4,67,0.6,3,3.6,2.4,1.4,0.8,0.2,2.5,20.7,2,0,-5.4
Chandler Hutchison,CHI,24,28,8,20,18.8,7.8,2.9,6.3,45.7,0.4,1.4,31.6,1.6,2.8,59,0.6,3.2,3.9,0.9,1,1,0.3,1.7,16.5,0,0,-5.1
Chandler Parsons,ATL,31,5,0,5,10.8,2.8,1,3.6,27.8,0.8,2.8,28.6,0,0,0,0.2,1.2,1.4,0.6,0.6,0.8,0.2,0.6,7.8,0,0,-8
Charles Brown Jr.,ATL,23,10,1,9,4,2,0.6,1.9,31.6,0.3,0.9,33.3,0.5,0.5,100,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.3,3.7,0,0,2.8
Chasson Randle,GSW,27,3,2,1,13.5,1.7,0,1.3,0,0,0.7,0,1.7,2,83.3,0,0.7,0.7,1.7,0,0.7,0,1,7,0,0,-1.3
Cheick Diallo,PHX,23,47,20,27,10.2,4.7,2,3,64.8,0,0.1,33.3,0.7,0.8,87.2,0.6,2.1,2.8,0.5,0.7,0.2,0.3,1.2,9.5,1,0,-1
Chimezie Metu,SAS,23,18,8,10,5.8,3.2,1.3,2.3,57.1,0,0.1,0,0.6,0.7,76.9,0.7,1.2,1.8,0.6,0.6,0.2,0.3,0.4,7.2,0,0,-0.5
Chris Boucher,TOR,27,62,45,17,13.2,6.6,2.3,4.8,47.2,0.6,1.9,32.2,1.5,1.9,78.4,1.7,2.7,4.5,0.4,0.5,0.4,1,1.8,16.2,5,0,1.6
Chris Chiozza,BKN,24,28,14,14,14.3,5.1,2,5,39.3,1,2.6,37.5,0.2,0.2,100,0.3,1.6,1.9,3,1.1,0.8,0.1,1.3,13.3,1,0,3.3
Chris Clemons,HOU,22,33,19,14,8.8,4.9,1.7,4.3,40.1,1.1,3.2,34.6,0.3,0.3,90.9,0.1,0.8,0.9,0.8,0.6,0.3,0.2,0.8,8,0,0,-1.9
Chris Paul,OKC,35,70,44,26,31.5,17.6,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4,90.7,0.4,4.6,5,6.7,2.3,1.6,0.2,2.3,36.6,10,0,4.7
Chris Silva,MIA,23,44,27,17,7.9,3,1.1,1.8,61.5,0,0.1,0,0.8,1.3,67.3,1.4,1.5,2.9,0.5,0.7,0.2,0.5,1.9,8.6,0,0,-1.2
Christian Wood,DET,24,62,20,42,21.4,13.1,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,1.7,4.6,6.3,1,1.4,0.5,0.9,1.6,25,12,0,1.1
CJ McCollum,POR,28,70,34,36,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2,2.6,75.7,0.7,3.6,4.2,4.4,1.8,0.8,0.6,2.6,36.3,4,0,0.2
CJ Miles,WAS,33,10,4,6,16.1,6.4,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2,75,0.4,0.8,1.2,1.2,0.4,1,0.4,1.4,13.4,0,0,-0.8
Clint Capela,ATL,26,39,22,17,32.8,13.9,6.3,9.9,62.9,0,0,0,1.4,2.7,52.9,4.3,9.5,13.8,1.2,1.6,0.8,1.8,2.6,38.8,27,0,1.5
Coby White,CHI,20,65,22,43,25.8,13.2,4.8,12.2,39.4,2,5.8,35.4,1.6,2,79.1,0.4,3.1,3.5,2.7,1.7,0.8,0.1,1.8,22.4,0,0,-2.5
Cody Martin,CHA,24,48,16,32,18.8,5,1.9,4.3,43,0.4,1.6,23.4,0.9,1.4,64.6,0.8,2.5,3.3,2,0.9,0.8,0.2,1.6,14,0,0,-1.4
Cody Zeller,CHA,27,58,18,40,23.1,11.1,4.3,8.3,52.4,0.3,1.3,24,2.1,3.1,68.2,2.8,4.3,7.1,1.5,1.3,0.7,0.4,2.4,23.9,10,0,-3.8
Collin Sexton,CLE,21,65,19,46,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,0.9,2.2,3.1,3,2.4,1,0.1,2.2,29.8,0,0,-6.1
Corey Brewer,SAC,34,5,2,3,6.5,1,0.4,0.8,50,0,0.2,0,0.2,0.6,33.3,0.4,1.2,1.6,0.4,0.4,0.8,0,1.4,5.5,0,0,1
Cory Joseph,SAC,28,72,31,41,24.4,6.4,2.4,5.7,41.5,0.8,2.2,35.2,0.8,1,85.7,0.6,2,2.6,3.5,1.1,0.7,0.3,1.8,16.7,0,0,-0.6
Courtney Lee,DAL,34,24,15,9,14.4,4.5,1.7,3.4,48.8,0.9,2,44.7,0.3,0.3,85.7,0.3,1,1.3,0.5,0.5,0.8,0.3,1.4,9.4,0,0,1.6
Cristiano Felicio,CHI,27,22,6,16,17.5,3.9,1.5,2.5,63,0,0.1,0,0.8,1,78.3,2.5,2.1,4.6,0.7,0.8,0.5,0.1,1.5,11.4,0,0,-2.6
D.J. Augustin,ORL,32,57,28,29,24.9,10.5,3.2,8.1,39.9,1.2,3.5,34.8,2.8,3.2,89,0.4,1.8,2.1,4.6,1.5,0.6,0,1.3,20.3,0,0,1.3
D.J. Wilson,MIL,24,37,29,8,9.8,3.6,1.4,3.6,39.4,0.5,2,24.7,0.3,0.5,61.1,0.3,2.2,2.5,0.7,0.5,0.1,0.1,0.9,7.7,0,0,-1.3
Damian Jones,ATL,25,55,15,40,16.1,5.6,2.2,3.2,68,0,0.2,22.2,1.1,1.5,73.8,1.3,2.4,3.7,0.6,0.5,0.5,0.7,2.7,14.1,0,0,-4.7
Damian Lillard,POR,29,66,33,33,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,0.5,3.8,4.3,8,2.9,1.1,0.3,1.7,48.4,19,1,1.3
Damion Lee,GSW,27,49,12,37,29,12.7,4.3,10.4,41.7,1.7,4.9,35.6,2.2,2.6,87.3,0.7,4.2,4.9,2.7,1.4,1,0.1,2.4,24.7,3,0,-2.5
Damyean Dotson,NYK,26,48,14,34,17.4,6.7,2.5,6,41.4,1.2,3.4,36.2,0.5,0.7,66.7,0.2,1.7,1.9,1.2,0.4,0.5,0.1,0.9,12,0,0,-1.8
D'Angelo Russell,MIN,24,45,11,34,32.3,23.1,8,18.8,42.6,3.5,9.6,36.7,3.6,4.4,80.9,0.4,3.6,3.9,6.3,3.3,1.1,0.3,1.9,38.1,3,0,-5.6
Daniel Gafford,CHI,21,43,15,28,14.2,5.1,2.2,3.1,70.1,0,0,0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,0.7,0.3,1.3,2.3,12.9,0,0,-0.7
Daniel Theis,BOS,28,65,42,23,24.1,9.2,3.7,6.6,56.6,0.5,1.5,33.3,1.3,1.8,76.3,2.2,4.4,6.6,1.7,0.8,0.6,1.3,3.4,24.4,7,0,3.1
Danilo Gallinari,OKC,31,62,37,25,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7,0.1,1.2,28.9,3,0,3.7
Danny Green,LAL,33,68,51,17,24.8,8,2.9,7,41.6,1.8,4.8,36.7,0.5,0.7,68.8,0.8,2.6,3.3,1.3,0.9,1.3,0.5,2,18.3,0,0,3.8
Dante Exum,CLE,24,35,10,25,13.9,4.5,1.6,3.4,47.1,0.4,1.2,34.9,0.9,1.2,74.4,0.3,1.6,1.9,1.1,0.9,0.4,0.2,1.1,9.5,0,0,-3.1
Danuel House Jr.,HOU,27,63,40,23,30.4,10.5,3.7,8.6,42.7,2,5.6,36.3,1.2,1.4,81.1,0.9,3.3,4.2,1.3,0.9,1.1,0.5,2.1,21.6,2,0,2
DaQuan Jeffries,SAC,22,13,4,9,10.9,3.8,1.5,3.1,50,0.4,1.4,27.8,0.4,0.5,83.3,0.2,1.2,1.4,0.5,0.2,0.3,0.1,1.5,7.3,0,0,0.2
Dario Saric,PHX,26,66,32,34,24.7,10.7,3.9,8.2,47.6,1.3,3.6,35.7,1.6,1.9,84.4,1.5,4.6,6.2,1.9,1.3,0.6,0.2,2.4,21.9,9,0,-1
Darius Bazley,OKC,20,61,36,25,18.5,5.6,2,5.2,39.4,0.8,2.3,34.8,0.7,1,69.4,0.5,3.5,4,0.7,0.7,0.4,0.7,0.9,13.9,1,0,-1.3
Darius Garland,CLE,20,59,17,42,30.9,12.3,4.7,11.8,40.1,1.8,5,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,2.6,0.7,0.1,1.6,20.2,1,0,-5
Daryl Macon,MIA,24,4,4,0,3.5,0.8,0.3,0.8,33.3,0.3,0.5,50,0,0,0,0,0,0,0.3,0.5,0,0,0.3,0.6,0,0,0
