PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Reggie Jackson,LAC,30,31,16,15,24,11.9,4.3,10.5,41.1,1.8,4.7,39.3,1.5,1.7,83.3,0.5,2.4,3,4.1,1.6,0.4,0.2,1.9,21.7,1,0,3.5
Richaun Holmes,SAC,26,44,16,28,28.2,12.3,5.1,7.8,64.8,0,0,0,2.1,2.7,78.8,2.9,5.3,8.1,1,1.2,0.9,1.3,3.8,28.9,13,0,0.4
Ricky Rubio,PHX,29,65,32,33,31,13,4.4,10.6,41.5,1.2,3.3,36.1,3,3.5,86.3,0.7,4,4.7,8.8,2.7,1.4,0.2,2.6,34,22,2,2.3
RJ Barrett,NYK,20,56,17,39,30.4,14.3,5.2,13,40.2,1.1,3.5,32,2.8,4.5,61.4,0.9,4.1,5,2.6,2.2,1,0.3,2.2,25.8,2,0,-5.8
Robert Covington,HOU,29,70,27,43,30.5,12.4,4.4,10.3,42.2,2.3,6.9,33.5,1.4,1.8,79.8,0.9,5.7,6.6,1.3,1.5,1.6,1.3,3.1,29.7,7,0,0.5
Robert Williams III,BOS,22,29,19,10,13.4,5.2,2.2,3,72.7,0,0,0,0.8,1.2,64.7,1.4,3,4.4,0.9,0.7,0.8,1.2,1.8,17,0,0,1.2
Robin Lopez,MIL,32,66,51,15,14.5,5.4,2.2,4.5,49.2,0.5,1.6,33.3,0.4,0.8,52.8,0.8,1.6,2.4,0.7,1,0.2,0.7,1.5,10.9,0,0,0.1
Rodions Kurucs,BKN,22,47,18,29,14.5,4.6,1.7,3.8,44.6,0.7,1.9,36.7,0.5,0.8,63.2,0.5,2.4,2.9,1.1,1,0.5,0.1,1.9,10.6,0,0,-0.6
Rodney Hood,POR,27,21,8,13,29.5,11,4.1,8.2,50.6,1.7,3.4,49.3,1,1.3,77.8,0.5,3,3.4,1.5,0.9,0.8,0.2,2.2,19.4,0,0,0.2
Rodney McGruder,LAC,28,56,38,18,15.6,3.3,1.3,3.2,39.8,0.4,1.6,27,0.3,0.6,55.9,0.5,2.2,2.7,0.6,0.4,0.5,0.1,1.3,8.9,0,0,-0.1
Romeo Langford,BOS,20,32,22,10,11.6,2.5,0.9,2.5,35,0.2,0.8,18.5,0.6,0.8,72,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1,5.8,0,0,2.1
Rondae Hollis-Jefferson,TOR,25,60,43,17,18.7,7,2.6,5.5,47.1,0.1,0.4,13,1.8,2.4,73.4,1.8,2.9,4.7,1.8,1,0.8,0.4,1.9,17.7,2,0,1.3
Royce O'Neale,UTA,27,71,44,27,28.9,6.3,2.2,5.1,43.3,1.3,3.4,37.7,0.6,0.8,76.4,0.4,5.1,5.5,2.5,0.9,0.8,0.5,2.8,19.7,2,0,3
Rudy Gay,SAS,33,67,30,37,21.8,10.8,4,8.9,44.6,1.1,3.3,33.6,1.8,2,88.2,0.9,4.5,5.4,1.7,1.3,0.5,0.5,1.5,21.6,4,0,0.2
Rudy Gobert,UTA,28,68,42,26,34.3,15.1,5.7,8.2,69.3,0,0,0,3.7,5.9,63,3.4,10.1,13.5,1.5,1.9,0.8,2,3.2,39.8,49,0,4.3
Rui Hachimura,WAS,22,48,15,33,30.1,13.5,5.3,11.4,46.6,0.5,1.8,28.7,2.4,2.9,82.9,1.6,4.5,6.1,1.8,1.1,0.8,0.2,2.2,25.3,3,0,-5.3
Russell Westbrook,HOU,31,57,36,21,36,27.2,10.6,22.5,47.2,1,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7,4.5,1.6,0.4,3.5,48.8,22,8,2.2
Ryan Anderson,HOU,32,2,1,1,7,2.5,1,3.5,28.6,0.5,2.5,20,0,0,0,0,3.5,3.5,1,0.5,0.5,0,0.5,9.2,0,0,3.5
Ryan Arcidiacono,CHI,26,58,21,37,16,4.5,1.6,3.8,40.9,0.9,2.4,39.1,0.5,0.7,71.1,0.3,1.6,1.9,1.7,0.6,0.5,0.1,1.7,10.2,0,0,-1.4
Ryan Broekhoff,PHI,29,17,10,7,10.6,4.2,1.3,3.5,37.3,1.2,3,39.2,0.4,0.5,87.5,0.3,2.2,2.5,0.6,0.4,0.3,0.2,0.9,9.4,0,0,0.5
Sekou Doumbouya,DET,19,38,10,28,19.8,6.4,2.4,6.2,39,0.7,2.6,28.6,0.8,1.2,67.4,0.5,2.6,3.1,0.5,0.9,0.5,0.2,2.1,12.2,2,0,-4.6
Semi Ojeleye,BOS,25,69,46,23,14.6,3.4,1.2,2.8,40.8,0.7,1.8,37.8,0.4,0.5,87.5,0.4,1.7,2.1,0.5,0.3,0.3,0.1,1.2,7.6,0,0,-0.4
Serge Ibaka,TOR,30,55,40,15,27,15.4,6.2,12.2,51.2,1.3,3.3,38.5,1.6,2.3,71.8,2.1,6.1,8.2,1.4,2,0.5,0.8,2.8,29.4,20,0,1.7
Seth Curry,DAL,29,64,38,26,24.6,12.4,4.4,9,49.5,2.3,5,45.2,1.3,1.5,82.5,0.4,1.8,2.3,1.9,1,0.6,0.1,1.8,19.3,0,0,2.5
Shabazz Napier,WAS,28,56,16,40,24,10.3,3.4,8.1,41.2,1.4,4.3,31.7,2.3,2.7,82.4,0.5,2.4,2.8,4.7,2.3,1.2,0.2,1.8,22.7,2,1,-1.7
Shai Gilgeous-Alexander,OKC,21,70,43,27,34.7,19,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.9,1.1,0.7,1.7,34.5,9,1,2.2
Shake Milton,PHI,23,40,23,17,20.1,9.4,3.4,6.9,48.4,1.5,3.4,43,1.3,1.6,78.5,0.4,1.8,2.2,2.6,1.2,0.5,0.2,2.3,16.8,0,0,-0.1
Shamorie Ponds,TOR,22,4,4,0,2.6,2.3,0.8,1.3,60,0.3,0.5,50,0.5,0.5,100,0,0.3,0.3,0.5,0,0,0.3,0.5,4.1,0,0,0
Shaquille Harrison,CHI,26,43,14,29,11.3,4.9,1.8,3.8,46.7,0.4,1,38.1,0.9,1.2,78,0.5,1.5,2,1.1,0.4,0.8,0.4,1.3,12.2,1,0,1.4
Sindarius Thornwell,NOP,25,2,0,2,17.7,8,3,5.5,54.5,1,2,50,1,2,50,0,2,2,2,1,0.5,0.5,1,15.4,0,0,-1.5
Skal Labissiere,ATL,24,33,14,19,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1,75.8,2,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1,0,0.4
Solomon Hill,MIA,29,59,29,30,18.4,5.5,1.9,4.7,39.6,1.1,2.9,36.8,0.7,0.9,74.1,0.5,2.3,2.8,1.8,0.9,0.7,0.2,1.4,13.4,0,0,-1.3
Spencer Dinwiddie,BKN,27,64,30,34,31.2,20.6,6.6,16,41.5,1.9,6.3,30.8,5.4,7,77.8,0.5,3,3.5,6.8,2.7,0.6,0.3,2.8,35,9,0,0.8
Stanley Johnson,TOR,24,25,19,6,6,2.4,0.9,2.4,37.3,0.3,1,29.2,0.4,0.6,56.3,0.3,1.2,1.5,0.8,0.6,0.2,0.2,0.6,6,0,0,0.5
Stanton Kidd,UTA,28,4,3,1,3.8,0,0,0.8,0,0,0.3,0,0,0,0,0,0.8,0.8,0.3,0.5,0,0,0.8,0.8,0,0,-0.3
Stephen Curry,GSW,32,5,1,4,27.9,20.8,6.6,16.4,40.2,2.4,9.8,24.5,5.2,5.2,100,0.8,4.4,5.2,6.6,3.2,1,0.4,2.2,37.9,1,0,-9
Sterling Brown,MIL,25,52,39,13,14.7,5.1,1.8,4.9,37.1,0.8,2.6,32.4,0.6,0.8,80,0.6,2.9,3.5,1,0.8,0.6,0.1,1,12.1,1,0,1.3
Steven Adams,OKC,26,63,40,23,26.7,10.9,4.5,7.6,59.2,0,0,33.3,1.9,3.2,58.2,3.3,6,9.3,2.3,1.5,0.8,1.1,1.9,29.6,22,0,2.4
Svi Mykhailiuk,DET,23,56,17,39,22.6,9,3,7.2,41,2.1,5.1,40.4,1,1.3,81.4,0.3,1.6,1.9,1.9,1.1,0.7,0.1,1.6,15.4,0,0,-0.1
T.J. McConnell,IND,28,71,44,27,18.7,6.5,3,5.8,51.6,0.1,0.2,29.4,0.5,0.6,83.3,0.5,2.1,2.7,5,1.4,0.8,0.2,1,18.7,2,0,0.7
T.J. Warren,IND,26,67,42,25,32.9,19.8,8,14.9,53.6,1.4,3.4,40.3,2.5,3,81.9,1,3.2,4.2,1.5,1.3,1.2,0.5,2.8,30.8,2,0,1.9
Tacko Fall,BOS,24,7,5,2,4.6,3.3,1.6,2,78.6,0,0,0,0.1,0.4,33.3,0.1,2,2.1,0.1,0.4,0.1,0.6,1,7.8,0,0,1
Taj Gibson,NYK,35,62,21,41,16.5,6.1,2.7,4.6,58.4,0.1,0.2,28.6,0.7,0.9,73.2,1.8,2.5,4.3,0.8,0.8,0.4,0.5,2,14.5,0,0,-4.2
Talen Horton-Tucker,LAL,19,6,2,4,13.5,5.7,2.3,5,46.7,0.7,2.2,30.8,0.3,0.7,50,0.3,0.8,1.2,1,1,1.3,0.2,1.7,12.1,0,0,-3
Tariq Owens,PHX,25,3,0,3,5.1,1.3,0.3,1.7,20,0,0.7,0,0.7,0.7,100,0.7,0.3,1,0,0,0.3,0,0.3,3.5,0,0,-5.3
Taurean Prince,BKN,26,64,30,34,29,12.1,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,0.8,5.2,6,1.8,2,0.9,0.4,2.5,23.8,8,0,1.1
Terance Mann,LAC,23,41,27,14,8.8,2.4,0.9,1.9,46.8,0.2,0.5,35,0.4,0.7,66.7,0.2,1.1,1.3,1.3,0.4,0.3,0.1,1.1,6.7,1,0,-0.1
Terence Davis,TOR,23,72,53,19,16.8,7.5,2.8,6.1,45.6,1.3,3.4,38.8,0.7,0.8,86.4,0.7,2.6,3.3,1.6,1.1,0.5,0.2,1.7,15,1,0,2.8
Terrance Ferguson,OKC,22,56,33,23,22.5,3.9,1.4,3.9,35.5,0.9,3,29.2,0.3,0.4,75,0.4,0.9,1.3,0.9,0.6,0.5,0.3,2.8,8.7,0,0,-2.6
Terrence Ross,ORL,29,69,31,38,27.4,14.7,4.9,12.3,40.3,2.6,7.3,35.1,2.3,2.7,85.3,0.2,3,3.2,1.2,1,1.1,0.3,1.6,23.7,0,0,-1
Terry Rozier,CHA,26,63,21,42,34.4,18,6.3,14.9,42.3,2.7,6.7,40.7,2.6,3,87.4,0.8,3.6,4.4,4.1,2.2,1,0.2,2,30.6,2,0,-6.3
Thabo Sefolosha,HOU,36,41,27,14,10.6,2.2,0.9,2.2,40.7,0.4,1.3,27.8,0.1,0.2,37.5,0.5,1.8,2.3,0.6,0.4,0.6,0.3,1,8.1,0,0,0.9
Thaddeus Young,CHI,32,64,22,42,24.9,10.3,4.2,9.4,44.8,1.2,3.5,35.6,0.7,1.1,58.3,1.5,3.5,4.9,1.8,1.6,1.4,0.4,2.1,22.7,2,0,-3.3
Thanasis Antetokounmpo,MIL,27,20,16,4,6.4,2.8,1.2,2.4,50,0,0.5,0,0.4,0.9,41.2,0.6,0.6,1.2,0.8,0.6,0.4,0.1,0.9,6.1,0,0,-0.8
Theo Pinson,NYK,24,33,15,18,11.1,3.6,1.4,4.7,29,0.5,2.4,18.8,0.5,0.5,93.8,0.3,1.3,1.6,1.7,1,0.5,0.1,1.1,9.1,0,0,-1.2
Thomas Bryant,WAS,22,46,15,31,24.9,13.2,5.3,9.1,58.1,0.8,2,40.7,1.9,2.5,74.1,2.1,5.1,7.2,1.8,1.2,0.5,1.1,2.2,28.3,11,0,-3.5
Thon Maker,DET,23,60,20,40,12.9,4.7,1.6,3.2,48.2,0.4,1.1,34.4,1.2,1.8,66.4,0.9,1.9,2.8,0.7,0.8,0.4,0.7,1.7,11.5,2,0,-2.4
Tim Frazier,DET,29,27,9,18,13.1,3.6,1.3,3.5,36.2,0.4,1.1,33.3,0.7,0.9,79.2,0.3,0.9,1.2,3.4,1.3,0.5,0.1,1.6,10.9,0,0,-2
Tim Hardaway Jr.,DAL,28,71,41,30,29.5,15.8,5.4,12.5,43.4,2.9,7.2,39.8,2.1,2.6,81.9,0.4,2.9,3.3,1.9,1,0.6,0.1,1.8,23.6,0,0,4.1
Timothe Luwawu-Cabarrot,BKN,25,47,20,27,18.1,7.8,2.5,5.7,43.5,1.3,3.4,38.8,1.5,1.7,85.2,0.6,2.1,2.7,0.6,0.8,0.4,0.1,2.3,12.7,0,0,-1.1
TJ Leaf,IND,23,28,16,12,7.9,3,1.3,3.1,41.9,0.2,0.6,27.8,0.3,0.6,43.8,0.8,1.7,2.5,0.3,0.3,0.4,0.1,0.8,7.7,1,0,0.3
Tobias Harris,PHI,27,72,43,29,34.3,19.6,7.7,16.3,47.1,1.8,5,36.7,2.4,3,80.6,1,5.9,6.9,3.2,1.4,0.7,0.6,2.3,35,11,0,2.2
Tomas Satoransky,CHI,28,65,22,43,28.9,9.9,3.6,8.5,43,1,3.1,32.2,1.6,1.9,87.6,1.2,2.7,3.9,5.4,2,1.2,0.1,2.1,24.8,3,0,-1.1
Tony Bradley,UTA,22,58,36,22,11.4,4.9,2.2,3.3,66.7,0.1,0.1,100,0.5,0.8,65.2,1.9,2.7,4.6,0.4,0.5,0.2,0.6,2,12.9,1,0,-0.2
Tony Snell,DET,28,59,18,41,27.8,8,2.9,6.5,44.5,1.7,4.3,40.2,0.5,0.5,100,0.2,1.7,1.9,2.2,0.5,0.5,0.3,1.7,15.4,0,0,-2.9
Torrey Craig,DEN,29,58,38,20,18.5,5.4,2.1,4.6,46.1,0.8,2.4,32.6,0.4,0.6,61.1,1.1,2.2,3.3,0.8,0.4,0.4,0.6,2.3,13.2,2,0,-3
Trae Young,ATL,21,60,18,42,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,47.6,28,2,-3.8
Tremont Waters,BOS,22,11,8,3,10.8,3.6,1.3,4.5,28.6,0.4,2.2,16.7,0.7,0.7,100,0,1.1,1.1,1.5,1.4,0.9,0.2,1.2,9,0,0,1.8
Treveon Graham,ATL,26,55,21,34,16.9,4.4,1.6,4.4,36,0.6,2.2,27.5,0.7,1,64.3,0.9,1.8,2.7,0.8,0.5,0.4,0.1,1.9,10,0,0,-2.7
Trevor Ariza,POR,35,53,22,31,28.2,8,2.7,6.1,43.8,1.5,3.9,37.2,1.2,1.4,83.8,0.6,4,4.6,1.7,1.1,1.3,0.3,2.1,19.8,0,0,-0.2
Trey Burke,DAL,27,33,16,17,15.8,7.4,2.8,6.3,45,1,2.3,42.7,0.7,0.9,79.3,0.5,1,1.5,2.5,0.6,0.5,0.1,1,14,0,0,0.8
Trey Lyles,SAS,24,63,27,36,20.2,6.4,2.4,5.4,44.6,1,2.7,38.7,0.5,0.7,73.3,1.1,4.6,5.7,1.1,0.6,0.4,0.4,1.6,17,2,0,-0.9
Tristan Thompson,CLE,29,57,19,38,30.2,12,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,4,6.2,10.1,2.1,1.8,0.6,0.9,2.2,29.9,25,0,-6.6
Troy Brown Jr.,WAS,20,69,24,45,25.8,10.4,4,9,43.9,0.9,2.6,34.1,1.6,2,78.4,1.1,4.4,5.6,2.6,1.1,1.2,0.1,1.9,23.8,6,0,-3.3
Troy Daniels,DEN,28,47,34,13,11.3,4.3,1.5,4,38.7,1,2.8,34.8,0.2,0.3,62.5,0.3,0.9,1.1,0.4,0.3,0.2,0.1,0.8,6.8,0,0,0.1
Ty Jerome,PHX,22,31,16,15,10.6,3.3,1.2,3.6,33.6,0.5,1.6,28,0.4,0.5,75,0.2,1.3,1.5,1.4,0.6,0.5,0.1,0.9,8.4,0,0,-3.3
Tyler Cook,DEN,22,13,3,10,4.2,1.8,0.6,0.9,66.7,0,0,0,0.5,0.6,87.5,0.5,0.6,1.1,0.1,0.2,0.2,0,0.4,3.6,0,0,-1.3
Tyler Herro,MIA,20,55,34,21,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87,0.3,3.8,4.1,2.2,1.6,0.6,0.2,1.4,22.5,1,0,-0.4
Tyler Johnson,BKN,28,39,16,23,18.2,7,2.5,6.4,38.8,1,3.1,31.9,1.1,1.3,84,0.5,1.5,1.9,1.9,0.7,0.4,0.2,1.5,13.4,0,0,-2.6
Tyler Zeller,SAS,30,2,1,1,1.9,1,0.5,2,25,0,0,0,0,0,0,1.5,0.5,2,0,0,0,0,0,3.4,0,0,1.5
Tyrone Wallace,ATL,26,14,3,11,11.5,2.9,1,3.1,31.8,0.1,1.1,6.7,0.8,1.2,64.7,0.2,1.4,1.6,0.9,0.7,0.5,0.1,1.4,7.1,0,0,-2.3
Tyson Chandler,HOU,37,26,15,11,8.4,1.3,0.5,0.7,77.8,0,0,0,0.2,0.5,46.2,1,1.6,2.5,0.2,0.3,0.2,0.3,1.2,6,0,0,1.2
Tyus Jones,MEM,24,65,32,33,19,7.4,3,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,0.1,1.4,1.6,4.4,0.8,0.9,0.1,0.7,18.1,0,0,-0.8
Udonis Haslem,MIA,40,4,3,1,11,3,1,2.8,36.4,0.3,0.8,33.3,0.8,1,75,0.3,3.8,4,0.3,0.3,0,0,1.5,7.9,0,0,-4.8
Vic Law,ORL,24,8,2,6,7.7,1.9,0.8,2.3,33.3,0.1,0.9,14.3,0.3,0.8,33.3,0.3,1.1,1.4,0.4,0.3,0.3,0,0.8,4.6,0,0,-0.9
Victor Oladipo,IND,28,19,11,8,27.8,14.5,5.1,12.9,39.4,1.7,5.5,31.7,2.5,3.1,81.4,0.5,3.5,3.9,2.9,2.5,0.9,0.2,1.9,24.5,0,0,-0.3
Vince Carter,ATL,43,60,19,41,14.6,5,1.8,5.1,35.2,1,3.4,30.2,0.4,0.5,79.3,0.3,1.8,2.1,0.8,0.6,0.4,0.4,1.5,10.5,0,0,-2.1
Vincent Poirier,BOS,26,22,18,4,5.9,1.9,0.8,1.6,47.2,0,0.1,50,0.3,0.3,85.7,0.6,1.4,2,0.4,0.4,0.1,0.4,1.1,5.9,0,0,-0.9
Vlatko Cancar,DEN,23,14,7,7,3.2,1.2,0.4,1.1,40,0.1,0.4,16.7,0.3,0.3,100,0.4,0.4,0.7,0.2,0.2,0.1,0.1,0.5,2.6,0,0,-0.6
Wayne Ellington,NYK,32,36,9,27,15.5,5.1,1.7,4.8,35.1,1.4,4,35,0.3,0.4,84.6,0.1,1.7,1.8,1.2,0.5,0.4,0.1,1.1,10,0,0,-0.5
Wendell Carter Jr.,CHI,21,43,15,28,29.2,11.3,4.3,8,53.4,0.1,0.7,20.7,2.6,3.5,73.7,3.2,6.2,9.4,1.2,1.7,0.8,0.8,3.8,27.5,17,0,-0.7
Wenyen Gabriel,POR,23,30,10,20,7.8,2.1,0.7,1.6,43.8,0.2,0.7,30,0.5,0.7,68.2,0.7,1,1.7,0.3,0.5,0.4,0.2,1.3,5.8,0,0,-1.5
Wes Iwundu,ORL,25,52,23,29,18.3,5.8,1.9,4.5,41.6,0.5,1.6,34.1,1.5,1.9,80.4,0.5,2.1,2.5,1.2,0.5,0.5,0.3,1.5,12.2,0,0,0.2
Wesley Matthews,MIL,33,67,52,15,24.4,7.4,2.5,6.3,39.6,1.6,4.4,36.4,0.8,1,76.5,0.3,2.1,2.5,1.4,0.6,0.6,0.1,1.5,13.9,0,0,6.8
Will Barton,DEN,29,58,38,20,33,15.1,5.7,12.7,45,1.9,5,37.5,1.8,2.3,76.7,1.3,5,6.3,3.7,1.5,1.1,0.5,2.1,31.2,7,0,4.2
William Howard,HOU,26,2,1,1,6.6,0,0,2,0,0,2,0,0,0,0,0,1,1,0.5,0.5,0,0,0.5,1.5,0,0,-8
Willie Cauley-Stein,DAL,26,54,16,38,20.3,7.2,3.2,5.6,57.9,0,0,0,0.7,1.2,60.6,1.6,4.3,5.8,1.3,0.7,0.9,1.1,2.2,21.5,3,0,-2.4
Willy Hernangomez,CHA,26,31,7,24,12.1,6.1,2.4,4.5,53.2,0.2,0.7,22.7,1.2,1.9,62.7,1.4,2.9,4.3,0.9,1,0.3,0.2,1,13.4,2,0,-0.6
Wilson Chandler,BKN,33,35,16,19,21,5.9,2.1,5.2,40.4,1.1,3.5,30.6,0.6,0.7,87,0.3,3.8,4.1,1.1,1,0.5,0.3,2.3,13.9,0,0,-3.4
Yogi Ferrell,SAC,27,50,20,30,10.6,4.4,1.6,3.8,42,0.5,1.6,30.4,0.7,0.8,85.7,0.1,0.9,1,1.4,0.6,0.4,0.1,0.8,8.4,0,0,-0.3
Yuta Watanabe,MEM,25,18,9,9,5.8,2,0.8,1.9,44.1,0.2,0.4,37.5,0.2,0.4,37.5,0.4,0.7,1.1,0.3,0.1,0.3,0.1,0.5,4.6,0,0,0.6
Zach Collins,POR,22,11,8,3,26.4,7,2.9,6.2,47.1,0.6,1.7,36.8,0.5,0.7,75,2.3,4,6.3,1.5,1.3,0.5,0.5,3.3,18.2,0,0,3.3
Zach LaVine,CHI,25,60,20,40,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40,2,0,-3.2
Zach Norvell Jr.,GSW,22,5,2,3,8.2,2,0.6,2.4,25,0.6,1.6,37.5,0.2,0.2,100,0,1.2,1.2,0.6,0.6,0.4,0,0.8,4.9,0,0,-5.4
Zhaire Smith,PHI,21,7,3,4,4.6,1.1,0.4,1.6,27.3,0,0.4,0,0.3,0.6,50,0,0.3,0.3,0.3,0.3,0.4,0,0.6,2.9,0,0,-1.4
Zion Williamson,NOP,19,24,11,13,27.8,22.5,8.8,15,58.3,0.3,0.6,42.9,4.8,7.4,64,2.7,3.6,6.3,2.1,2.5,0.7,0.4,1.8,33.8,2,0,2.6
Zylan Cheatham,NOP,24,4,2,2,12.8,3,1.5,2.3,66.7,0,0.3,0,0,0,0,0.8,1.5,2.3,0.8,1,0.3,0.3,2.5,7.3,0,0,-7
